,question,sql
34,"What is the smallest pick for the player, brett lindros?",SELECT MIN Pick FROM table WHERE Player = Brett Lindros
35,How many countries (endonym) has the capital (endonym) of Jakarta?,SELECT COUNT Country ( endonym ) FROM table WHERE Capital ( endonym ) = Jakarta
36,What is the highest choice?,SELECT MAX Choice FROM table
37,What's the 2001 census of the region of Abruzzo where the 1871 census is bigger than 51092.0?,SELECT MIN 2001 Census FROM table WHERE Region = Abruzzo AND 1981 Census > 51092.0
38,"The season premiere aired on September 11, 2000 aired on how many networks? ","SELECT COUNT Network FROM table WHERE Season premiere = September 11, 2000"
39,"what being the maximum year where regular season is 4th, northwest","SELECT MAX Year FROM table WHERE Regular Season = 4th, Northwest"
40,When FA Cup Apps is 9 what is the smallest number of FA Cup Goals?,SELECT MIN FA Cup Goals FROM table WHERE FA Cup Apps = 9
41,How many County Kerry have 53% Irish speakers?,SELECT COUNT English name FROM table WHERE Irish speakers = 53% AND County = County Kerry
42,what is the maximum division,SELECT MAX Division FROM table
43,What is the smallest number of Total Goals?,SELECT MIN Total Goals FROM table
44,How many States have an Indian population of 30947?,SELECT COUNT Filipino FROM table WHERE Indian = 30947
45,What is the largest # for an episode that was written by Allison Lea Bingeman?,SELECT MAX # FROM table WHERE Writer = Allison Lea Bingeman
46,"what is the minimum production code with title ""foreign exchange problem / turn about""","SELECT MIN Production code FROM table WHERE Title = ""Foreign Exchange Problem / Turn About"""
47,How many Australians were in the UN commission on Korea?,SELECT COUNT Number of Australians involved FROM table WHERE UN Operation title = UN Commission on Korea
48,What is the model number introduced May 1999?,SELECT MAX Model FROM table WHERE Introduction = May 1999
49,"What year was the BBC two total viewing 7,530,000?","SELECT MIN Year FROM table WHERE BBC Two total viewing = 7,530,000"
50,What is the number of season premieres were 10.17 people watched?,SELECT COUNT Season premiere FROM table WHERE Viewers (millions) = 10.17
51,What is the most cup goals for seasson 1911-12?,SELECT MAX Cup Goals FROM table WHERE Season = 1911-12
52,Which overall pick number went to college at Youngstown State?,SELECT MIN Overall FROM table WHERE College = Youngstown State
53,How many top tens had an average start of 29.4?,SELECT COUNT Top 10 FROM table WHERE Avg. Start = 29.4
54,What is the enrollment for the institution that was founded in 1866 and is a private/(african methodist) type?,SELECT MAX Enrollment FROM table WHERE Founded = 1866 AND Type = Private/(African Methodist)
55,Who was the top picki n the draft?,SELECT MIN Choice FROM table
56,What is the total number of votes if Scotland cast 35?,SELECT COUNT Scotland FROM table WHERE Total = 35
57,"How many institutions are located in wilmore, kentucky and private","SELECT MAX Founded FROM table WHERE Type = Private AND Location = Wilmore, Kentucky"
58,Where does the defensive back position appear first?,SELECT MIN Round FROM table WHERE Position = Defensive Back
59,What is the number for t c (k) when the notation is tl-2212?,SELECT COUNT T c (K) FROM table WHERE Notation = Tl-2212
60,How many weeks are there?,SELECT MAX Week FROM table
61,What is Bruce Cerone overall?,SELECT MIN Overall FROM table WHERE Player name = Bruce Cerone
62,How many 2010 estimations have been done in the city of Cremona?,SELECT COUNT 2010 Est. FROM table WHERE City = Cremona
63,What week corresponds to the last one to be played at the memorial stadium?,SELECT MAX Week FROM table WHERE Stadium = Memorial Stadium
64,How many touchdowns were scored in the year with a completion percentage of 56.0?,SELECT MIN Touchdowns FROM table WHERE Completion % = 56.0
65,How many 2001 censuses are there on number 13?,SELECT COUNT 2001 Census FROM table WHERE # = 13
66,what is the maximum pick # where player is anthony blaylock,SELECT MAX Pick # FROM table WHERE Player = Anthony Blaylock
67,In what week was the first game played at the Commerzbank-Arena?,SELECT MIN Week FROM table WHERE Game site = Commerzbank-Arena
68,How many nationalities are the pick 193?,SELECT COUNT Nationality FROM table WHERE Pick = 193
69,What is the area of the place that has a population density of 331.4?,SELECT MAX Area (km²) FROM table WHERE Density = 331.4
70,what's the minimum attendance with score  10.16 (76) – 9.22 (76),SELECT MIN Attendance FROM table WHERE Score = 10.16 (76) – 9.22 (76)
71,How many songs received a 10 from Goodman and were rated by Tonioli?,SELECT COUNT Tonioli FROM table WHERE Goodman = 10
72,What is the highest no. in season?,SELECT MAX No. in season FROM table
73,what is the minimum attendance with score 8.16 (64) – 8.12 (60),SELECT MIN Attendance FROM table WHERE Score = 8.16 (64) – 8.12 (60)
74,"How many scores did Goodman give to ""samba / young hearts run free"", which was in second place?",SELECT COUNT Goodman FROM table WHERE Result = Second place AND Dance/song = Samba / Young Hearts Run Free
75,What's the highest season number of an episode in the series?,SELECT MAX No. in season FROM table
76,What is the minimum amount for wool for 2001-02?,SELECT MIN 2001-02 FROM table WHERE Commodity = Wool
77,what's the total number of position with driver  robby gordon,SELECT COUNT Position FROM table WHERE Driver = Robby Gordon
78,What is the number in the season that Marlene Meyer wrote and 20.49 million people watched?,SELECT MAX No. in season FROM table WHERE Written by = Marlene Meyer AND U.S. viewers (millions) = 20.49
79,"That is the year founded for the institution location of Nashville, Tennessee?","SELECT MIN Founded FROM table WHERE Location = Nashville, Tennessee"
80,What was the number of nominations for natalia raskokoha?,SELECT COUNT Nomination FROM table WHERE Actors Name = Natalia Raskokoha
81,what is the greatest number of wins by japanese formula three?,SELECT MAX Wins FROM table WHERE Series = Japanese Formula Three
82,What is the least number of candidates running were there when 80 seats were won?,SELECT MIN # of candidates FROM table WHERE # of seats won = 80
83,HOW MANY TEMPERATURE INTERVALS ARE POSSIBLE TO USE WITH ACRYL? ,SELECT COUNT Temp (°C) FROM table WHERE Adhesive Type = Acryl
84,What's the pick number of the player from New Mexico?,SELECT MAX Pick # FROM table WHERE College = New Mexico
85,"What was the minimum attendance on December 7, 1969?","SELECT MIN Attendance FROM table WHERE Date = December 7, 1969"
86,How many matches where played with Jim Pugh?,SELECT COUNT Opponents FROM table WHERE Partner = Jim Pugh
87,What episode number had production code e4423?,SELECT MAX No. in season FROM table WHERE Production code = E4423
88,what is the minimum pick # where position is defensive tackle,SELECT MIN Pick # FROM table WHERE Position = Defensive Tackle
89,"How many matched scored 3–6, 7–6(5), 6–3?","SELECT COUNT Surface FROM table WHERE Score = 3–6, 7–6(5), 6–3"
90,What's the latest episode in a season where the U.S. viewers totaled 14.37 million?,SELECT MAX No. in season FROM table WHERE U.S. viewers (millions) = 14.37
91,What is Friesland's gdp per capita?,"SELECT MIN GDP per cap. (2003, in €) FROM table WHERE Province = Friesland"
92,How many birthdays does Earl Hanley Beshlin have?,SELECT COUNT Date of birth FROM table WHERE Representative = Earl Hanley Beshlin
93,"What's the number of the episode called ""Melrose Unglued""?","SELECT MAX No. in series FROM table WHERE Title = ""Melrose Unglued"""
94,"How many episodes aired in Region 2 beginning May 26, 2008?","SELECT MIN # of Ep FROM table WHERE Region 2 = May 26, 2008"
95,How many playerd Mrs. Darling in the 1999 Broadway?,SELECT COUNT 1999 Broadway FROM table WHERE Character = Mrs. Darling
96,what is season 6 sum of both the number of times processing ID 2397162 was assigned and the number of times chip chalmers managed an episode ,SELECT MAX No. in season FROM table WHERE Director = Chip Chalmers AND Production code = 2397162
97,What is the least amount of season epidsodes?,SELECT MIN # of Ep FROM table
98,How many years did BBC One rank 20th?,SELECT COUNT Year FROM table WHERE BBC One Rank = 20th
99,What is the maximum number of picks for the CFL team Calgary Stampeders?,SELECT MAX Pick # FROM table WHERE CFL Team = Calgary Stampeders
100,what is the least number of poles?,SELECT MIN Poles FROM table
101, how many ↓ function / genus → with escherichia being espd,SELECT COUNT ↓ Function / Genus → FROM table WHERE Escherichia = EspD
102,What is the highest selection number for the saskatchewan roughriders team?,SELECT MAX Pick # FROM table WHERE CFL Team = Saskatchewan Roughriders
103,What is the lowest sex ratio in rural areas?,SELECT MIN Sex ratio (rural) FROM table
104,How many original titles did Marriage Italian-Style have? ,SELECT COUNT Original title FROM table WHERE Film title used in nomination = Marriage Italian-Style
105,League apps (sub) maximum?,SELECT MAX League Apps (Sub) FROM table
106,What is the lowest child sex ratio in groups where employment is 31.3%?,SELECT MIN Sex ratio (child) FROM table WHERE Work participation (%) = 31.3%
107,How many primers annulus colors were there when the color of the bullet tip was white?,SELECT COUNT Primer Annulus Color FROM table WHERE Bullet Tip Color = White
108,When total goals is 11 what was the league apps (sub)?,SELECT MAX League Apps (Sub) FROM table WHERE Total Goals = 11
109,What episode aired on 18 April 2007?,SELECT MIN # FROM table WHERE Air Date = 18 April 2007
110,How many bullet tips colors had other features of a blue band on case base?,SELECT COUNT Bullet Tip Color FROM table WHERE Other Features = Blue band on case base
111,What is the highest attendance at a game played by St. Johnstone?,SELECT MAX Highest FROM table WHERE Team = St. Johnstone
112,What's the pick number of the player from Toronto Argonauts?,SELECT MIN Pick # FROM table WHERE CFL Team = Toronto Argonauts
113,How many years were there with 348 attempts?,SELECT COUNT Yards FROM table WHERE Attempts = 348
114,what is the maximum year with registration of a minor child being 281,SELECT MAX Year FROM table WHERE Registration of a minor child = 281
115,What is the minimum introduced value for the Departmental region?,SELECT MIN Introduced FROM table WHERE Region = Departmental
116,How many characters is by Babs Rubenstein?,SELECT COUNT London FROM table WHERE US Tour = Babs Rubenstein
117,"what is the most # that aired on september 29, 2008?","SELECT MAX # FROM table WHERE Air Date = September 29, 2008"
118,What is the smallest introduced value?,SELECT MIN Introduced FROM table
119,How many people play Frank in London?,SELECT COUNT London FROM table WHERE Character = Frank
120,HOW MANY TONS OF CO2 EMISSIONS DID RUSSIA PRODUCE IN 2006?,SELECT MAX Carbon dioxide emissions per year (10 6 Tons) (2006) FROM table WHERE Country = Russia
121,What is the earliest pick listed in the table.,SELECT MIN Pick # FROM table
122,What was the total number of Class AAA during the same year that Class AAA was White Oak?,SELECT COUNT Class AA FROM table WHERE Class AAA = White Oak
123,WHAT WAS THE AVERAGE EMISSION PER KM 2 IN INDIA?,SELECT MAX Avg. emission per km 2 of its land (tons) FROM table WHERE Country = India
124,What is the lowest ru?,SELECT MIN RU FROM table
125,"How many records are listed on Friday, May 25?","SELECT COUNT Team record FROM table WHERE Date = Friday, May 25"
126,How many platinum points were awarded when 6 gold points were awarded?,SELECT MAX Points awarded (Platinum) FROM table WHERE Points awarded (Gold) = 6
127,What's the minimum total attendance of the Premier League association football?,SELECT MIN Total attendance FROM table WHERE Sport = Association football AND League = Premier League
128,"How many opponents were played on Saturday, June 9?","SELECT COUNT Opponent FROM table WHERE Date = Saturday, June 9"
129,How many platinum points were awarded for 5th place?,SELECT MAX Points awarded (Platinum) FROM table WHERE Finishing position = 5th
130,What's the average attendance of the leagues in the season of 2013?,SELECT MIN Average attendance FROM table WHERE Season = 2013
131,How many settings where there for episode 29 of the season?,SELECT COUNT Setting FROM table WHERE No. in series = 29
132,what was the crowd when the scores are 10.12 (72) – 8.11 (59)?,SELECT MAX Crowd FROM table WHERE Scores = 10.12 (72) – 8.11 (59)
133,What is McMaster College's pick number?,SELECT MIN Pick # FROM table WHERE College = McMaster
134,What is the total number of lyricist where the lyrics theme is romance and the song lasts 3:50?,SELECT COUNT Lyricist FROM table WHERE Lyrics theme/style = Romance AND Duration = 3:50
135,Which number is the player from Minnesota?,SELECT MAX No. FROM table WHERE School/Club Team = Minnesota
136,give the least number of times an episode was shown from 1997-1998,SELECT MIN No. in season FROM table
137,What is the total number of music genre/style in which the lyrics are a detective story?,SELECT COUNT Music genre/style FROM table WHERE Lyrics theme/style = Detective story
138,What is the largest jersey number for the player from maryland,SELECT MAX No. FROM table WHERE School/Club Team = Maryland
139,What is the listed population from the 2010 census of West Bogor?,SELECT MIN Population at 2010 Census FROM table WHERE English name = West Bogor
140,What is the number of the division for the 1st round?,SELECT COUNT Division FROM table WHERE Open Cup = 1st Round
141,"What year did the University of California, San Diego take 1st place?","SELECT MAX Year FROM table WHERE 1st Place = University of California, San Diego"
142,What episode in the season was directed by Jeff Melman?,SELECT MIN No. in season FROM table WHERE Directed by = Jeff Melman
143,What is the total number of poles for arden international?,SELECT COUNT Poles FROM table WHERE Team = Arden International
144,How many times did Tiger get second in the year where there were 11 cuts?,SELECT MAX 2nd FROM table WHERE Cuts made = 11
145,what is the minimum total,SELECT MIN Total FROM table
146,What is the number of wins for gp2 series for racing engineering?,SELECT COUNT Wins FROM table WHERE Series = GP2 Series AND Team = Racing Engineering
147,"What amount of times is the name, Bok De Korver listed?",SELECT MAX number FROM table WHERE name = Bok de Korver
148,Which episode in the series drew 3.6 million U.S. viewers? ,SELECT MIN No. in series FROM table WHERE U.S. viewers (million) = 3.6
149,What is the number of podiums for season 2010 for campionato italiano superstars.,SELECT COUNT Podiums FROM table WHERE Season = 2010 AND Series = Campionato Italiano Superstars
150,What is the total of port adelaide,SELECT MAX Total FROM table WHERE Team = Port Adelaide
151,"What is the lowest weekly rank with an air date of november 26, 2007?","SELECT MIN Weekly Rank FROM table WHERE Air Date = November 26, 2007"
152,"How many writers had an US air date of september 25, 1993?","SELECT COUNT Writer FROM table WHERE US air date = September 25, 1993"
153,what's the maximum purse( $ ) with score value of 204 (-9),SELECT MAX Purse( $ ) FROM table WHERE Score = 204 (-9)
154,What is the minimum capacity where airdrie united is?,SELECT MIN Capacity FROM table WHERE Team = Airdrie United
155,How many villians were in No. 25?,SELECT COUNT Villains FROM table WHERE No. = 25
156,what is the maximum 1st prize( $ ) where score is 193 (-17),SELECT MAX 1st Prize( $ ) FROM table WHERE Score = 193 (-17)
157,What is the highest of ayr united?,SELECT MIN Highest FROM table WHERE Team = Ayr United
158,"what is the total number of playoffs where regular season is 6th, southwest","SELECT COUNT Playoffs FROM table WHERE Regular Season = 6th, Southwest"
159,"What is the production code of ""surprise, surprise""?","SELECT MAX Production Code FROM table WHERE Title = ""Surprise, Surprise"""
160,What is the average?,SELECT MIN Average FROM table
161,How many titles have the number 11,SELECT COUNT Title FROM table WHERE # = 11
162,What was the season number for the episode with the series number 61?,SELECT MAX Season # FROM table WHERE Series # = 61
163,What is the lowest attendance that East End Park has ever had?,SELECT MIN Lowest FROM table WHERE Stadium = East End Park
164,How many have Mrs. briar as a villain,SELECT COUNT No. FROM table WHERE Villains = Mrs. Briar
165,"What is the number of series of the title of ""your wife's a payne""?","SELECT MAX Series # FROM table WHERE Title = ""Your Wife's a Payne"""
166,What is the lowest attandance recorded at Cappielow?,SELECT MIN Lowest FROM table WHERE Stadium = Cappielow
167,how many have the number 8,SELECT COUNT No. FROM table WHERE # = 8
168,what is the maximum season where leading goalkicker is scott simister (54),SELECT MAX Season FROM table WHERE Leading goalkicker = Scott Simister (54)
169,What is the highest attandence at a Hamilton Academical game?,SELECT MIN Highest FROM table WHERE Team = Hamilton Academical
170,"How many have the title ""the tale of the room for rent""","SELECT COUNT # FROM table WHERE Title = ""The Tale of the Room for Rent"""
171,what is the maximum tonnage where date entered service is 25 march 1986 ,SELECT MAX Tonnage FROM table WHERE Date entered service = 25 March 1986
172,What is the least top division titles?,SELECT MIN Top division titles FROM table
173,"How many villains appeared in the episode titled ""The Tale of the Virtual Pets""?","SELECT COUNT Villains FROM table WHERE Title = ""The Tale of The Virtual Pets"""
174,What is the maximum fc matches?,SELECT MAX FC matches FROM table
175,What is the least number of seasons in top division?,SELECT MIN Number of seasons in top division FROM table
176,Name the number of species with sepal width of 3.4 and sepal length of 5.4,SELECT COUNT Species FROM table WHERE Sepal width = 3.4 AND Sepal length = 5.4
177,What is the maximum fc matches at the racecourse?,SELECT MAX FC matches FROM table WHERE Name of ground = The Racecourse
178,What is the lowest rank (night) for having viewers (millions) 5.25?,SELECT MIN Rank (night) FROM table WHERE Viewers (millions) = 5.25
179,Who is the director and what number is the episode for episode #1 of Are You Afraid of the Dark season 3?,SELECT COUNT Director FROM table WHERE # = 1
180,What is the maximum t20 on green lane?,SELECT MAX T20 matches FROM table WHERE Name of ground = Green Lane
181,What was the share for the first episode that ranked 85?,SELECT MIN Share FROM table WHERE Rank (#) = 85
182,Who wrote episode #1 in season 7?,SELECT COUNT Writer FROM table WHERE # = 1
183,What is the last round with club team Guelph Storm (ohl)?,SELECT MAX Round FROM table WHERE Club team = Guelph Storm (OHL)
184,When was SPLC founded?,SELECT MIN Founded FROM table WHERE Abbreviation = SPLC
185,What's the report on Penske Racing winning while the pole position was Al Unser?,SELECT COUNT Report FROM table WHERE Pole Position = Al Unser AND Winning team = Penske Racing
186,Barry University had the highest enrollment of what number?,SELECT MAX Enrollment FROM table WHERE Institution = Barry University
187,whatthe minimum round where grand prix is german grand prix,SELECT MIN Round FROM table WHERE Grand Prix = German Grand Prix
188,How many winners are there of farma?,SELECT COUNT Winners FROM table WHERE Local title = Farma
189,"If the enrollment is 3584, what's the largest founded?",SELECT MAX Founded FROM table WHERE Enrollment = 3584
190,Which rd. occurred on 22 October?,SELECT MIN Rd. FROM table WHERE Date = 22 October
191,How many mileposts are there on Anne Street?,SELECT COUNT Milepost FROM table WHERE Street Names = Anne Street
192,Barry University had a maximum enrollment of what?,SELECT MAX Enrollment FROM table WHERE Institution = Barry University
193,Which rd. took place at Hockenheimring?,SELECT MIN Rd. FROM table WHERE Location = Hockenheimring
194,How many wheels does the train owned by Texas and New Orleans Railroad #319 have?,SELECT COUNT Wheel arrangement ( Whyte notation ) FROM table WHERE Operational owner(s) = Texas and New Orleans Railroad #319
195,what is the maximum norwegian americans (2000) where norwegian americans (1990) is 9170,SELECT MAX Norwegian Americans (2000) FROM table WHERE Norwegian Americans (1990) = 9170
196,What is the minimum number for the half marathon (womens)?,SELECT MIN Half Marathon (womens) FROM table
197,How many games had a score value of 813.5 in post-season play?,SELECT COUNT Play-off FROM table WHERE Points = 813.5
198,"What is the game that the location attendance is pepsi center 19,894?","SELECT MAX Game FROM table WHERE Location Attendance = Pepsi Center 19,894"
199,what's the minimum rnd with race  italian grand prix,SELECT MIN Rnd FROM table WHERE Race = Italian Grand Prix
200,how many founded dates are listed for carlow university 1,SELECT COUNT Founded FROM table WHERE Institution = Carlow University 1
201,What is San Antonio  game number?,SELECT MAX Game FROM table WHERE Team = San Antonio
202,When did Shelia Lawrence join the series?,SELECT MIN Series # FROM table WHERE Writer(s) = Shelia Lawrence
203,"How many episodes were titles ""voicemail""?","SELECT COUNT Directed by FROM table WHERE Title = ""Voicemail"""
204,what is the maximum game where high points is mickaël gelabale (21),SELECT MAX Game FROM table WHERE High points = Mickaël Gelabale (21)
205,What is the number for years 1985-88,SELECT MIN No. FROM table WHERE Years for Jazz = 1985-88
206,How many seats were won in the election with 125 candidates?,SELECT COUNT # of seats won FROM table WHERE # of candidates = 125
207,"What year did they finish 1st, southern?","SELECT MAX Year FROM table WHERE Reg. Season = 1st, Southern"
208,What is the number of school/club teams held by BYU?,SELECT MIN No. FROM table WHERE School/Club Team = BYU
209,How many people attended the game against the indianapolis colts?,SELECT COUNT Attendance FROM table WHERE Opponent = Indianapolis Colts
210,Name the max for prohibition.,SELECT MAX For Prohibition FROM table
211,What is the founding of parsu cimmarons?,SELECT MIN Founded FROM table WHERE Nickname = ParSU Cimmarons
212,How many results are there for the 0-4 record?,SELECT COUNT Result FROM table WHERE Record = 0-4
213,What is the highest number listed?,SELECT MAX Number FROM table
214,what is the minimum purse( $ ) where tournament is ko olina senior invitational,SELECT MIN Purse( $ ) FROM table WHERE Tournament = Ko Olina Senior Invitational
215,"How many weeks are there that include the date October 11, 1969.","SELECT COUNT Week FROM table WHERE Date = October 11, 1969"
216,What episode was written by Bobby Bell and Bill Lee?,SELECT MAX No. in season FROM table WHERE Written by = Bobby Bell and Bill Lee
217,What was the minimal amount ($) of the 1st prize in the tournaments in New Mexico?,SELECT MIN 1st Prize( $ ) FROM table WHERE Location = New Mexico
218,"How many weeks are there that include the date November 9, 1969.","SELECT COUNT Week FROM table WHERE Date = November 9, 1969"
219,what is the maximum number of hull numbers?,SELECT MAX Hull Numbers FROM table
220,What is the minimum enrollment at barton college,SELECT MIN Enrollment FROM table WHERE Institution = Barton College
221,How many records are there at the War Memorial Stadium?,SELECT COUNT Record FROM table WHERE Stadium = War Memorial Stadium
222,what is the maximum number of hull nunbers where ship name is kri yos sudarso?,SELECT MAX Hull Numbers FROM table WHERE Ship Name = KRI Yos Sudarso
223,What year did longwood university leave the conference?,SELECT MIN Left FROM table WHERE Institution = Longwood University
224,How many points for 2005?,SELECT COUNT Points FROM table WHERE Season = 2005
225,How many times did bec tero sasana win?,SELECT MAX Winners FROM table WHERE Nation = BEC Tero Sasana
226,What is the minimum gross tonnage of the Munich? ,SELECT MIN Gross Tonnage FROM table WHERE Ships name = Munich
227,how many positions in 2009?,SELECT COUNT Position FROM table WHERE Season = 2009
228,how many maximum winners,SELECT MAX Winners FROM table
229,Where is the first season that Anthony Hemingway appears?,SELECT MIN No. in season FROM table WHERE Directed by = Anthony Hemingway
230,What is the total for 10th position?,SELECT COUNT Points FROM table WHERE Position = 10th
231,What is the max week where kate and anton are eliminated?,SELECT MAX Week FROM table WHERE Eliminated = Kate and Anton
232,When is the first season there were 14.57 million U.S viewers?,SELECT MIN No. in season FROM table WHERE U.S. viewers (millions) = 14.57
233,how many reports of races took place on october 16?,SELECT COUNT Report FROM table WHERE Date = October 16
234,"What's the series number of the episode titled ""The Quest""?","SELECT MAX Number in series FROM table WHERE Title = ""The Quest"""
235,What is the first series number that Adele Lim wrote?,SELECT MIN No. in series FROM table WHERE Written by = Adele Lim
236,"How many episodes were titled ""identity crisis""?","SELECT COUNT Directed by FROM table WHERE Title = ""Identity Crisis"""
237,What's the series number of the episode with a broadcast order s04 e07?,SELECT MAX Number in series FROM table WHERE Broadcast Order = S04 E07
238,What is the lowest date settled for chifley?,SELECT MIN Date first settled as a suburb FROM table WHERE Suburb = Chifley
239,How many pre-race analysis occur when Allen Bestwick does the lap-by-lap?,SELECT COUNT Pre-race analyst FROM table WHERE Lap-by-lap = Allen Bestwick
240,"Which crime rate per 1,000 people is associated with a cost per capita of $152?","SELECT MAX Crime rate per 1,000 people FROM table WHERE Cost per capita = $152"
241,What is the density in Garran?,SELECT MIN Density (/km²) FROM table WHERE Suburb = Garran
242,How many titles got a viewership of 26.53 million?,SELECT COUNT Title FROM table WHERE U.S. viewers (millions) = 26.53
243,What's the number of the player with 68.46 (1144 pts) in riding?,SELECT MAX # FROM table WHERE Riding = 68.46 (1144 pts)
244,What is the minimum of t20 matches?,SELECT MIN T20 matches FROM table
245,How many titles were there for the 113 episode?,SELECT COUNT Title FROM table WHERE No. in series = 113
246,"What is the latest year that 6th, Heartland is regular season?","SELECT MAX Year FROM table WHERE Regular Season = 6th, Heartland"
247,What is the area (km²) for the country with a population of 16967000?,SELECT MIN Area (km²) FROM table WHERE Population = 16967000
248,How many rounds were there of the Bosch Spark Plug Grand Prix?,SELECT COUNT Rnd FROM table WHERE Race Name = Bosch Spark Plug Grand Prix
249,"What is the August 15, 2012 population when the  population density of 2012 is 307?","SELECT MAX Population August 15, 2012 FROM table WHERE Population Density 2012 (km 2 ) = 307"
250,HOW MUCH WAS THE OVERALL FOR ERIK KARLSSON?,SELECT MIN Overall FROM table
251,On how many dates did the Michigan International Speedway hold a round?,SELECT COUNT Date FROM table WHERE Circuit = Michigan International Speedway
252,When the population change 2002-2012 (%) is 35.5 what is the rank in nyagatare sectors?,"SELECT MAX Rank in Nyagatare Sectors, 2012 FROM table WHERE Population Change 2002-2012 (%) = 35.5"
253,WHAT ROUND WAS FORWARD ANDRE PETERSSON SELECTED?,SELECT MIN Round FROM table WHERE Position = Forward
254,Name the total number of bids of the sun belt conference,SELECT COUNT # of Bids FROM table WHERE Conference = Sun Belt
255,What is the highest population for the ,"SELECT MAX Population, August 15, 2002 FROM table"
256,NAME THE OVERALL FOR THE OMAHA (USHL) CLUB TEAM,SELECT MIN Overall FROM table WHERE Club team = Omaha (USHL)
257,What is the number of bids with elite eight larger than 1.0,SELECT COUNT # of Bids FROM table WHERE Elite Eight > 1.0
258,What is the biggended for 1947?,SELECT MAX Biggenden FROM table WHERE Year = 1947
259,"What was the series number for the episode ""I Forgot to Remember to Forget""?","SELECT MIN No. in series FROM table WHERE Title = ""I Forgot to Remember to Forget"""
260,How many directors were there for the film Course Completed?,SELECT COUNT Director FROM table WHERE Film title used in nomination = Course Completed
261,What is the gayndah when perry is 304?,SELECT MAX Gayndah FROM table WHERE Perry = 304
262,Which episode number in season 5 was viewed by 3.00 million U.S. viziers?,SELECT MIN No. in season FROM table WHERE U.S. viewers (millions) = 3.00
263,How many villages had 21.7% of slovenes in 1991?,SELECT COUNT Village (German) FROM table WHERE Percent of Slovenes 1991 = 21.7%
